"filename", "language", "JSON", "JSON with Comments", "HTML", "TypeScript", "CSS", "XML", "Markdown", "Vue", "comment", "blank", "total"
"d:\VSCode\Programs\my-vite-proj01\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"d:\VSCode\Programs\my-vite-proj01\auto-imports.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 6, 1, 12
"d:\VSCode\Programs\my-vite-proj01\components.d.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 6, 2, 35
"d:\VSCode\Programs\my-vite-proj01\index.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\VSCode\Programs\my-vite-proj01\package-lock.json", "JSON", 5163, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5164
"d:\VSCode\Programs\my-vite-proj01\package.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"d:\VSCode\Programs\my-vite-proj01\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 4, 11
"d:\VSCode\Programs\my-vite-proj01\src\Apptest.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"d:\VSCode\Programs\my-vite-proj01\src\api\comment.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\VSCode\Programs\my-vite-proj01\src\api\reply.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"d:\VSCode\Programs\my-vite-proj01\src\api\selected.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 3, 16
"d:\VSCode\Programs\my-vite-proj01\src\api\sendComment.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\VSCode\Programs\my-vite-proj01\src\api\songList.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\VSCode\Programs\my-vite-proj01\src\assets\buyed.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\cancel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\clean.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\cloud.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\collect.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\comment.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\download.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\dynamic.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\find.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\good.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\leftRecord.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\like.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\menu.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\more.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\newcreate.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\pause.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\recent.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\recommend.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\record.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\record2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\recordnow.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\return.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\rightRecord.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\roaming.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\search.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\user.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\components\blog\indexBlog.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\VSCode\Programs\my-vite-proj01\src\components\bottomPopUp.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 37, 3, 9, 49
"d:\VSCode\Programs\my-vite-proj01\src\components\collectToCreate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 33, 2, 8, 43
"d:\VSCode\Programs\my-vite-proj01\src\components\moments\indexMoment.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\VSCode\Programs\my-vite-proj01\src\components\music\indexMusic.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 55, 1, 3, 59
"d:\VSCode\Programs\my-vite-proj01\src\components\music\music\ablums.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\VSCode\Programs\my-vite-proj01\src\components\music\music\collection.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 72, 0, 6, 78
"d:\VSCode\Programs\my-vite-proj01\src\components\music\music\create.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 72, 0, 8, 80
"d:\VSCode\Programs\my-vite-proj01\src\components\music\music\recent.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\VSCode\Programs\my-vite-proj01\src\components\newCreate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 41, 2, 5, 48
"d:\VSCode\Programs\my-vite-proj01\src\components\reply.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 88, 9, 8, 105
"d:\VSCode\Programs\my-vite-proj01\src\components\songHistory.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 66, 2, 8, 76
"d:\VSCode\Programs\my-vite-proj01\src\main.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\VSCode\Programs\my-vite-proj01\src\router\index.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 0, 0, 1, 7, 83
"d:\VSCode\Programs\my-vite-proj01\src\store\bottomPop.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"d:\VSCode\Programs\my-vite-proj01\src\store\collect.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\VSCode\Programs\my-vite-proj01\src\store\commentId.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\VSCode\Programs\my-vite-proj01\src\store\historyList.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"d:\VSCode\Programs\my-vite-proj01\src\store\newCreate.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"d:\VSCode\Programs\my-vite-proj01\src\store\songList.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\VSCode\Programs\my-vite-proj01\src\store\token.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 1, 1, 12
"d:\VSCode\Programs\my-vite-proj01\src\style.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\VSCode\Programs\my-vite-proj01\src\utils\request.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 9, 4, 29
"d:\VSCode\Programs\my-vite-proj01\src\views\comment.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 123, 8, 8, 139
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\dynamics.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\find.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 49, 5, 4, 58
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\blog.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 29
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\listen.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\live.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\music\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\music\rank.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\music\selected.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 128, 3, 16, 147
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\roaming.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\user.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 109, 9, 8, 126
"d:\VSCode\Programs\my-vite-proj01\src\views\mylogin.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 76, 5, 9, 90
"d:\VSCode\Programs\my-vite-proj01\src\views\recordMain.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 65, 7, 7, 79
"d:\VSCode\Programs\my-vite-proj01\src\views\songList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 124, 7, 12, 143
"d:\VSCode\Programs\my-vite-proj01\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\VSCode\Programs\my-vite-proj01\tsconfig.app.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"d:\VSCode\Programs\my-vite-proj01\tsconfig.json", "JSON with Comments", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\VSCode\Programs\my-vite-proj01\tsconfig.node.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 2, 4, 29
"d:\VSCode\Programs\my-vite-proj01\vite.config.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 1, 2, 29
"Total", "-", 5238, 24, 18, 314, 8, 27, 3, 1260, 94, 217, 7203
